Neighborhood,ID,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation,Cultural industry,Finance,Real estate,Professional,Management,Admin &                         support,Education,Health care,Arts,Accomodation,Other services,Public admin
Westminster-Branson,35,16.6666666666667,16.2162162162162,18,38.8489208633093,54.1446208112875,32.7338129496403,49.8316498316498,36.8731563421829,8.60719874804382,6.51162790697674,18.1538461538462,9.54323001631321,10,39.0625,27.8810408921933,54.357459379616,20.7482993197279,31.5533980582524,78.3464566929134,18.3783783783784
Newtonbrook West,36,41.6666666666667,16.2162162162162,20,32.8537170263789,35.4497354497354,32.3741007194245,44.4444444444444,23.598820058997,9.54616588419405,9.56072351421189,19.0769230769231,10.6851549755302,8,28.125,27.5092936802974,42.0974889217134,16.3265306122449,31.5533980582524,67.3228346456693,19.7297297297297
Willowdale West,37,0,5.40540540540541,16,14.1486810551559,14.4620811287478,22.6618705035971,27.2727272727273,10.6194690265487,10.4851330203443,10.5426356589147,17.5384615384615,11.6639477977162,18,14.0625,28.2527881040892,21.5657311669128,9.52380952380952,13.5922330097087,24.8031496062992,20.5405405405405
Lansing-Westgate,38,33.3333333333333,0,12,16.7865707434053,15.8730158730159,23.021582733813,24.7474747474747,16.8141592920354,9.23317683881064,9.92248062015504,18.1538461538462,13.1321370309951,8,14.7321428571429,30.4832713754647,30.8714918759232,13.9455782312925,14.8867313915858,33.8582677165354,18.9189189189189
Bedford Park-Nortown,39,16.6666666666667,8.10810810810811,22,17.7458033573141,17.989417989418,36.3309352517986,31.3131313131313,7.07964601769912,8.45070422535211,12.609819121447,44.3076923076923,16.8026101141925,26,17.4107142857143,39.2193308550186,46.9719350073855,18.3673469387755,16.3430420711974,61.0236220472441,12.4324324324324
St.Andrew-Windfields,40,16.6666666666667,10.8108108108108,16,20.6235011990408,17.283950617284,28.0575539568345,22.2222222222222,11.2094395280236,7.19874804381847,7.90697674418605,32.3076923076923,11.6231647634584,24,15.625,23.9776951672862,44.165435745938,13.265306122449,12.2977346278317,29.5275590551181,15.1351351351351
Bridle Path-Sunnybrook-York Mills,41,41.6666666666667,27.027027027027,18,8.87290167865707,6.17283950617284,16.9064748201439,7.74410774410774,3.24483775811209,5.00782472613459,7.54521963824289,16.6153846153846,6.23980424143556,4,4.91071428571429,11.8959107806691,17.5775480059084,7.82312925170068,3.39805825242718,11.4173228346457,4.5945945945946
Banbury-Don Mills,42,16.6666666666667,10.8108108108108,16,25.8992805755396,22.5749559082892,44.2446043165468,40.4040404040404,24.4837758112094,18.1533646322379,14.4186046511628,38.7692307692308,17.9853181076672,22,25.2232142857143,41.635687732342,49.03988183161,11.2244897959184,17.4757281553398,55.9055118110236,28.1081081081081
Victoria Village,43,16.6666666666667,5.40540540540541,4,24.7002398081535,19.5767195767196,15.8273381294964,37.8787878787879,20.6489675516224,8.29420970266041,8.16537467700258,12.3076923076923,5.54649265905383,0,23.8839285714286,20.2602230483271,29.2466765140325,10.2040816326531,17.6375404530744,31.496062992126,17.8378378378378
Flemingdon Park,44,0,0,12,18.9448441247002,24.6913580246914,20.5035971223022,41.4141414141414,32.7433628318584,9.70266040688576,5.78811369509044,15.0769230769231,6.11745513866232,12,36.1607142857143,19.8884758364312,29.6898079763663,10.5442176870748,31.0679611650485,42.9133858267717,15.1351351351351
