,Neighborhood,ID,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
31,Englemount-Lawrence,32,0,0,2,0,2,1,5,0,0,1,1,0,7,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
32,Clanton Park,33,0,0,2,0,1,1,5,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,2,1,0,0,0,0,3,1,0,0,1,3,0,2,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,1,0,0
33,Bathurst Manor,34,0,0,0,2,0,1,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,7,0,0,0,0,0,2,0,0,0,1,4,0,2,1,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0
34,Westminster-Branson,35,0,0,0,1,1,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,7,0,0,1,0,8,0,0,0,0,0,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0
35,Newtonbrook West,36,0,0,0,0,1,3,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,1,0,0
36,Willowdale West,37,0,0,0,1,0,1,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,3,0,7,0,0,1,0,6,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,1,0,0
37,Lansing-Westgate,38,0,0,0,0,1,1,3,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,1,0,4,0,0,0,0,0,3,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0
38,Bedford Park-Nortown,39,0,0,1,0,1,1,5,0,0,1,1,0,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,6,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0
39,St.Andrew-Windfields,40,0,0,1,0,1,1,4,0,0,1,2,0,3,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,2,1,2,1,0,0,2,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
40,Bridle Path-Sunnybrook-York Mills,41,0,0,0,2,2,1,5,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,8,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0
